name,canon_lat,canon_lon,evidence
R657,-42.53,-178.49,https://doi.org/10.1029/97PA02982
V19_30,-3.38,-83.52,https://doi.org/10.1029/GM032p0303
V25_59,1.36,-33.48,https://doi.org/10.1029/PA003i003p00361
ODP846,-3.10,-90.81,https://doi.org/10.2973/odp.proc.sr.138.160.1995
CHN82_24_4PC,41.71,-32.85,https://doi.org/10.1016/0012-821x(85)90154-2
V19_29,-3.58,-83.93,https://doi.org/10.1594/PANGAEA.358938
ODP980,55.48,-14.70,https://doi.org/10.2973/odp.proc.ir.162.103.1996
V19_27,-0.47,-82.07,https://doi.org/10.1029/90PA02303
M35003_4,12.08,-61.25,https://doi.org/10.1038/990069
MD97_2120,-45.53,174.93,https://doi.org/10.1126/science.1102163
MD06_2990,-42.31,169.91,https://doi.org/10.1002/2014PA002727
SO136_003GC,-42.29,169.87,https://doi.org/10.3289/GEOMAR_REP_89_1999
PL07_39PC,10.70,-64.94,https://doi.org/10.1126/science.1088470
P69,-40.39,177.99,https://doi.org/10.1029/97PA02982
S794,-35.31,176.81,https://doi.org/10.1029/97PA02982
EW9209_1JPC,5.90,-44.19,https://doi.org/10.1594/PANGAEA.53145
SU90_11,44.06,-40.01,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/su90-11-tab.txt
V29_202,61.00,-21.00,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean//sediment_files/complete/v29-202-tab.txt