site_name,citekey,data_url
905,jung.etal2009,
12PC51,sikes.keigwin1994,
182-1132B,holbourn.etal2002,
BOFS17K,lowry.etal1994,
BOFS26K,beveridge.etal1995,
BOFS28K,beveridge.etal1995,
BOFS29K,beveridge.etal1995,
CHAT10K-1,mccave.etal2008,
CHAT1K,weaver.etal1998,
CHAT3K,mccave.etal2008,
CHAT5K,mccave.etal2008,
CHN82-20,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
DSDP594,weaver.etal1998,
E49-21,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
E49-23,howard.prell1994,
ELT45029-PC,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
ELT49017-PC,howard.prell1994,
ELT49018-PC,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
ELT49023-PC,howard.prell1994,
EN120_GGC_1,keigwin2004,
EW9209-1JPC,curry.oppo1997,
GEOB1028-5,wefer.etal1996,https://doi.org/10.1594/PANGAEA.54618
GEOB1032-3,bickert.wefer1996,
GEOB1034-3,bickert.wefer1996,
GEOB1035-3,bickert.wefer1996,
GEOB1041-3,bickert.wefer1996,
GEOB1101-5,bickert.wefer1996,
GEOB1105-4,bickert.wefer1996,
GEOB1112-4,bickert.wefer1996,
GEOB1115-3,bickert.wefer1996,
GEOB1118-2,bickert.wefer1996,
GEOB1211-3,bickert.wefer1996,
GEOB1214-1,schmiedl.mackensen1997,
GEOB1312-2,hale.pflaumann1999,
GEOB1417-1,bickert.mackensen2003,
GEOB1501-4,durkoop.etal1997,
GEOB1505-2,zabel.etal1999,
GEOB1520-1,bickert.mackensen2003,
GEOB1523-2,wefer.etal1996,https://doi.org/10.1594/PANGAEA.54618
GEOB1710-3,schmiedl.mackensen1997,
GEOB1721-6,bickert.mackensen2003,
GEOB1722-3,mollenhauer.etal2002,
GEOB1903-3,durkoop.etal1997,
GEOB2004-2,bickert.mackensen2003,
GEOB2019-1,bickert.mackensen2003,
GEOB2109-1,durkoop.etal1997,
GEOB2215-10,bickert.mackensen2003,
GEOB3004-1,schmiedl.mackensen2006,https://doi.org/10.1594/PANGAEA.548185
GEOB3202-1,arz.etal1999,
GEOB3603-2,bickert.mackensen2003,
GEOB3801-6,bickert.mackensen2003,
GEOB4216-1,freudenthal.etal2002,
GEOB4223-2,freudenthal.etal2002,
GEOB4240-2,freudenthal.etal2002,
GEOB4403-2,bickert.mackensen2003,
GEOB5115-2,bickert.mackensen2003,
GEOB6719-1,ruggeberg.etal2005,https://doi.org/10.1594/PANGAEA.134555
GEOB6728-1_ISO,dorschel.etal2005,
GGC-10,thunell.etal1992,
GGC-11,thunell.etal1992,
GGC-12,thunell.etal1992,
GGC-13,thunell.etal1992,
GGC-6,thunell.etal1992,
GIK11944-2,weinelt1993,https://doi.org/10.1594/PANGAEA.97 104
GIK12328-5,sarnthein.etal1994,
GIK12329-6,sarnthein.etal1994,
GIK12337-4/5,sarnthein.etal1994,
GIK12392-1,zahn.etal1986,
GIK13239-1,sarnthein.etal1994,
GIK13289-2,sarnthein.etal1994,
GIK13519-1,sarnthein.etal1994,
GIK13521-1,sarnthein.etal1994,
GIK15627-3,sarnthein.etal1994,
GIK15637-1,zahn-knoll1986,https://doi.org/10.1594/PANGAEA.106213
GIK15669-1,zahn-knoll1986,https://doi.org/10.1594/PANGAEA.106213
GIK15672-1,sarnthein.etal1994,
GIK16004-1,sarnthein.etal1994,
GIK16017-2,sarnthein.etal1994,
GIK16030-1,sarnthein.etal1994,
GIK16402-1,sarnthein.etal1994,
GIK16408-2,sarnthein.etal1994,
GIK16408-5,sarnthein.etal1994,
GIK16459-1,sarnthein.etal1994,
GIK16771-2,sarnthein.etal1994,
GIK16772-1,sarnthein.etal1994,
GIK16773-1,sarnthein.etal1994,
GIK16856-2,sarnthein.etal1994,
GIK16867-2,sarnthein.etal1994,
GIK17045-3,sarnthein.etal1994,
GIK17049-6,jung.sarnthein2003,https://doi.org/10.1594/PANGAEA.112908
GIK23071,voelker1999,https://doi.org/10.1594/PANGAEA.58000
GIK23414-9,jung.sarnthein2003b,https://doi.org/10.1594/PANGAEA.112911
GIK23415-9,jung.sarnthein2003c,https://doi.org/10.1594/PANGAEA.112912
GIK23416-4,jung.sarnthein2004,https://doi.org/10.1594/PANGAEA.136423
GIK23417-1,jung.sarnthein2003e,https://doi.org/10.1594/PANGAEA.112914
GIK23418-8,jung.sarnthein2003d,https://doi.org/10.1594/PANGAEA.112915
GIK23419-8,jung.sarnthein2003a,https://doi.org/10.1594/PANGAEA.112916
IOE105KK,sirocko1989,https://doi.org/10.1594/PANGAEA.77634
J-11,gorbarenko.southon2000,
KF09,richter2001,https://doi.org/10.1594/PANGAEA.66316
KN11002-0050PG,curry.etal1988,
KN11002-0055,curry.etal1988,
KN11002-0058,curry.etal1988,
KN11002-0066PG,curry.etal1988,
KN11002-0071PG,curry.etal1988,
KN11002-0075,curry.etal1988,
KNR140-12JPC,keigwin2004,
KNR140-22JPC,keigwin2004,
KNR140-30GGC,keigwin2004,
KNR140-37JPC,keigwin2004,
KNR140-43GGC,keigwin2004,
KNR140-51GGC,keigwin2004,
KNR140-64GGC,keigwin2004,
KNR140-67JPC,keigwin2004,
M35003-4,huls1999,https://doi.org/10.1594/PANGAEA.55754
M5-3A-422,sirocko.etal2000,
MD01-2378,kawamura.etal2006,
MD06-3018,russon.etal2009,
MD88-770,labeyrie.etal1996,https://doi.org/10.1594/PANGAEA.52728
MD900963,bassinot.etal1994,
MD952039,lynch-stieglitz.etal2006,
MD95-2042,shackleton.etal2000,
MD96-2080,rau.etal2002,
MD97-2120,pahnke.etal2003,
MD97-2121,carter.etal2008,
MD99-2339,voelker.etal2006,https://doi.org/10.1594/PANGAEA.465028
MW91-15,patrick.thunell1997,
NA87-22,duplessy.etal1992,
NEAP18K,chapman.shackleton1999,
NO79-28,duplessy1996,https://www.ncdc.noaa.gov/paleo-search/study/2508
NO82-13,labeyrie1996,https://www.ncdc.noaa.gov/paleo-search/study/2510
OCE106GGC,slowey.curry1995,
OCE205-103GCC,slowey.curry1995,
OCE205-108GGC,slowey.curry1995,
OCE205-149GGC,slowey.curry1995,
OCE205-7JPC,slowey.curry1995,
ODP1079,lynch-stieglitz.etal2006,
ODP1084B,lynch-stieglitz.etal2006,
ODP1087,pierre.etal2001,
ODP1088,hodell.etal2003,
ODP1089,hodell.etal2003,
ODP1090,hodell.etal2003,
ODP1143,tian.etal2002,
ODP658C,zhao.etal1995,
ODP704A,hodell.etal2003,
ODP805C,lea2000,
ODP806B,lea2000,
ODP846,shackleton.etal1995,
ODP851,cannariato.ravelo1997,
ODP925,bickert.etal1997,
ODP927,curry.oppo2005,
ODP929,bickert.etal1997,
ODP980,oppo.etal2003,
ODP982,venz.etal1999,
ORGON4-KS8,sirocko.etal2000,
P69,weaver.etal1998,
PO200/10_8-2.97,abrantes.etal1998,
PO200_10_6-2,abrantes.etal1998,
PS1243-1,bauch.etal2001,
PS1506,rickaby.etal2010,
PS2082-1,mackensen.etal1994,
PS2138-1,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
PS2166-2,norgaard-pedersen.etal1998,
PS2177-1,norgaard-pedersen.etal1998,
PS2185-3,norgaard-pedersen.etal1998,
PS2495-3,mackensen.etal1994,
PS2498-1,mackensen.etal2001,
Q200,weaver.etal1998,
R657,weaver.etal1998,
RC08-39,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC10-131,anderson.etal1989,
RC10-140,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC10-175,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC10-65,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC10-97,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC11-120,martinson.etal1987,
RC11-86,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC12-109,anderson.etal1989,
RC12-113,anderson.etal1989,
RC12-225,rickaby.elderfield1999,
RC12-267,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC12-294,imbrie.etal1997,https://doi.org/10.1594/PANGAEA.52117
RC12-339,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC12-36,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC13-110,mix.etal1991,
RC13-138,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC13-205,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC13-228,curry.etal1988,
RC13-229,oppo.etal1990,
RC13-269,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC14-37,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC15-52,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC15-62,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC15-94,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC17-176,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC17-98,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
RC23-50B,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
RC8-39,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
S794,weaver.etal1998,
SK17,anand.etal2008,
SO42-74KL,sirocko.etal1993,
SO82_5-2,jung2004,https://doi.org/10.1594/PANGAEA.201812
SO90-93K,schulz.etal1998,
SU90-11,labeyrie.etal1995,
SU90-39,cortijo1995,https://doi.org/10.1594/PANGAEA.106761
U938,weaver.etal1998,
V10-58,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V12-70,lynch-stieglitz.etal2006,
V17-42,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V19-178,prell.etal1980,
V19-188,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V19-236,lynch-stieglitz.etal2006,
V19-240,lynch-stieglitz.etal2006,
V19-248,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V19-25,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V19-258,lynch-stieglitz.etal2006,
V19-27,mix.etal1991,
V19-28,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V19-30,curry.etal1988,
V20-220,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V21-29,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V22-108,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V22-174,mcintyre.etal1989,
V22-196,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V22-197,curry.etal1988,
V22-38,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V24-109,shackleton.etal1992,
V24-161,anderson.etal1989,
V24-166,anderson.etal1989,
V24-170,anderson.etal1989,
V24-184,anderson.etal1989,
V27-20,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V27-60,duplessy.etal1988,
V27-64,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V28-14,curry.etal1988,
V28-179,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V28-235,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V28-238,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V28-240,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V28-294,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V28-304,curry.etal1988,
V28-345,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V28-56,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V29-135,sarnthein.etal1994,
V29-179,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V29-202,oppo.lehman1995,
V29-29,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V29-31,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V30-163,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
V30-49,curry.etal1988,
V32-126,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V32-128,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V32-161,morley.etal1991,
V34-88,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
V35-05,oppo.fairbanks1987,
V36-06,delphiproject,https://www.esc.cam.ac.uk/research/research-groups/research-projects/Delphi
Y2711-1,cline.etal1984,https://doi.org/10.1594/PANGAEA.51932
GH93-KI-5,crusius.etal1999,https://doi.org/10.1594/PANGAEA.856827
KT9415P9,crusius.etal1999,https://doi.org/10.1594/PANGAEA.856827
